"Código";"Tipo";"Propósito";"Grupo";"Produto";"Marca";"Unidade";"Código Barra";"Código NCM";"Código de registro na ANVISA";"Lista de Preço";"Comissão Padrão";"Controla Estoque";"Minimo";"Máximo";"Compra";"Fornecedor";"Custo";"Venda";"Estoque";"Validade";"Perfil Tributário";"Forma de arquisição";"Situação tributária";"Alíquota";"CSTICMS";"Origem da mercadoria";"CEST";"NVE";"Data de inclusão"
"890";"Serviço";"Venda e consumo interno";"ULTRASSONOGRAFIA DE CÃES E GATOS";"*CITOLOGIA GUIADA POR US* - CÃES E GATOS";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"150,00";"";"";"";"";"";"";"";"";"";"";"31/07/2024 08:55:53"
"891";"Serviço";"Venda e consumo interno";"ULTRASSONOGRAFIA DE CÃES E GATOS";"*US ABDOMINAL – SERPENTES/ RÉPTEIS, FERRETS, PEQUENOS ROEDORES E AVES* - ANIMAIS SILVESTRES";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"160,00";"";"";"";"";"";"";"";"";"";"";"31/07/2024 08:57:04"
"886";"Serviço";"Venda e consumo interno";"ULTRASSONOGRAFIA DE CÃES E GATOS";"*US CERVICAL* - CÃES E GATOS";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"180,00";"";"";"";"";"";"";"";"";"";"";"31/07/2024 08:52:43"
"658";"Produto";"Apenas consumo interno";"DESCARTÁVEIS";"ABAIXADOR DE LINGUAS";"";"UN";"";"";"";"Não";"";"Sim";"";"";"";"";"0,05";"0,00";"200";"2028-10-31";"";"";"";"";"";"";"";"";"23/07/2024 15:49:34"
"871";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"ABDOMINOCENTESE (GRANDE PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"150,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:19:44"
"870";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"ABDOMINOCENTESE (MÉDIO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"100,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:19:16"
"869";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - CIRURGIAS DO SISTEMA DIGESTIVO";"ABDOMINOCENTESE (PEQUENO PORTE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"70,00";"";"";"";"";"";"";"";"";"";"";"30/07/2024 08:18:58"
"889";"Serviço";"Venda e consumo interno";"ULTRASSONOGRAFIA DE CÃES E GATOS";"ABDOMINOCENTESE GUIADA POR US - CÃES E GATOS";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"30,00";"";"";"";"";"";"";"";"";"";"";"31/07/2024 08:55:19"
"148";"Serviço";"Venda e consumo interno";"Cirurgias";"ABDOMNOSCENTESE";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"100,00";"";"";"";"";"";"";"";"";"";"";"20/03/2024 15:16:01"
"746";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - SISTEMA GENITAL MACHO";"ABLAÇÃO DO SACO ESCROTAL + ORQUIECTOMIA (PORTE GRANDE)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"350,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 08:46:47"
"745";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - SISTEMA GENITAL MACHO";"ABLAÇÃO DO SACO ESCROTAL + ORQUIECTOMIA (PORTE MÉDIO)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"250,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 08:46:27"
"744";"Serviço";"Venda e consumo interno";"PROCEDIMENTOS - SISTEMA GENITAL MACHO";"ABLAÇÃO DO SACO ESCROTAL + ORQUIECTOMIA (PORTE PEQUENO)";"";"UN";"";"";"";"Sim";"";"Não";"";"";"";"";"";"150,00";"";"";"";"";"";"";"";"";"";"";"26/07/2024 08:46:09"
